date,home_team,away_team,team,scorer,assist,minute,own_goal,penalty
1950-07-02,Uruguay,Bolivia,Uruguay,Juan Alberto Schiaffino,,54,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Julio Pérez,,83,False,False
1950-07-02,Uruguay,Bolivia,Uruguay,Alcides Ghiggia,,87,False,False
1950-07-02,Switzerland,Mexico,Switzerland,René Bader,,10,False,False
1950-07-02,Switzerland,Mexico,Switzerland,Charles Antenen,,44,False,False
1950-07-02,Switzerland,Mexico,Mexico,Horacio Casarín,,89,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Ademir,,17,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Ademir,,36,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Chico,,39,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Ademir,,52,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Ademir,,58,False,False
1950-07-09,Brazil,Sweden,Sweden,Sune Andersson,,67,False,True
1950-07-09,Brazil,Sweden,Brazil,not applicable Maneca,,85,False,False
1950-07-09,Brazil,Sweden,Brazil,not applicable Chico,,88,False,False
1950-07-09,Uruguay,Spain,Uruguay,Alcides Ghiggia,,29,False,False
1950-07-09,Uruguay,Spain,Spain,Estanislau Basora,,37,False,False
1950-07-09,Uruguay,Spain,Spain,Estanislau Basora,,39,False,False
1950-07-09,Uruguay,Spain,Uruguay,Obdulio Varela,,73,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Ademir,,15,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Jair,,21,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Chico,,31,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Chico,,55,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Ademir,,57,False,False
1950-07-13,Brazil,Spain,Brazil,not applicable Zizinho,,67,False,False
1950-07-13,Brazil,Spain,Spain,Silvestre Igoa,,71,False,False
1950-07-13,Uruguay,Sweden,Sweden,Karl-Erik Palmér,,5,False,False
1950-07-13,Uruguay,Sweden,Uruguay,Alcides Ghiggia,,39,False,False
1950-07-13,Uruguay,Sweden,Sweden,Stig Sundqvist,,40,False,False
1950-07-13,Uruguay,Sweden,Uruguay,Oscar Míguez,,77,False,False
1950-07-13,Uruguay,Sweden,Uruguay,Oscar Míguez,,85,False,False
1950-07-16,Sweden,Spain,Sweden,Stig Sundqvist,,15,False,False
1950-07-16,Sweden,Spain,Sweden,Bror Mellberg,,33,False,False
1950-07-16,Sweden,Spain,Sweden,Karl-Erik Palmér,,80,False,False
1950-07-16,Sweden,Spain,Spain,Telmo Zarra,,82,False,False
1950-07-16,Uruguay,Brazil,Brazil,not applicable Friaça,,47,False,False
1950-07-16,Uruguay,Brazil,Uruguay,Juan Alberto Schiaffino,,66,False,False
1950-07-16,Uruguay,Brazil,Uruguay,Alcides Ghiggia,,79,False,False
1954-06-16,Brazil,Mexico,Brazil,not applicable Baltazar,,23,False,False
1954-06-16,Brazil,Mexico,Brazil,not applicable Didi,,30,False,False
1954-06-16,Brazil,Mexico,Brazil,not applicable Pinga,,34,False,False
1954-06-16,Brazil,Mexico,Brazil,not applicable Pinga,,43,False,False
1954-06-16,Brazil,Mexico,Brazil,not applicable Julinho,,69,False,False
1954-06-16,Yugoslavia,France,Yugoslavia,Miloš Milutinović,,15,False,False
1954-06-16,Austria,Scotland,Austria,Erich Probst,,33,False,False
1954-06-16,Uruguay,Czechoslovakia,Uruguay,Oscar Míguez,,71,False,False
1954-06-16,Uruguay,Czechoslovakia,Uruguay,Juan Alberto Schiaffino,,84,False,False
1954-06-17,Switzerland,Italy,Switzerland,Robert Ballaman,,18,False,False
1954-06-17,Switzerland,Italy,Italy,Giampiero Boniperti,,44,False,False
1954-06-17,Switzerland,Italy,Switzerland,Josef Hügi,,78,False,False
1954-06-17,Hungary,South Korea,Hungary,Ferenc Puskás,,12,False,False
1954-06-17,Hungary,South Korea,Hungary,Mihály Lantos,,18,False,False
1954-06-17,Hungary,South Korea,Hungary,Sándor Kocsis,,24,False,False
1954-06-17,Hungary,South Korea,Hungary,Sándor Kocsis,,36,False,False
1954-06-17,Hungary,South Korea,Hungary,Sándor Kocsis,,50,False,False
1954-06-17,Hungary,South Korea,Hungary,Zoltán Czibor,,59,False,False
1954-06-17,Hungary,South Korea,Hungary,Péter Palotás,,75,False,False
1954-06-17,Hungary,South Korea,Hungary,Péter Palotás,,83,False,False
1954-06-17,Hungary,South Korea,Hungary,Ferenc Puskás,,89,False,False
1954-06-17,West Germany,Turkey,Turkey,Suat Mamat,,2,False,False
1954-06-17,West Germany,Turkey,West Germany,Hans Schäfer,,14,False,False
1954-06-17,West Germany,Turkey,West Germany,Bernhard Klodt,,52,False,False
1954-06-17,West Germany,Turkey,West Germany,Ottmar Walter,,60,False,False
1954-06-17,West Germany,Turkey,West Germany,Max Morlock,,84,False,False
1954-06-17,England,Belgium,Belgium,Léopold Anoul,,5,False,False
1954-06-17,England,Belgium,England,Ivor Broadis,,26,False,False
1954-06-17,England,Belgium,England,Nat Lofthouse,,36,False,False
1954-06-17,England,Belgium,England,Ivor Broadis,,63,False,False
1954-06-17,England,Belgium,Belgium,Henri Coppens,,67,False,False
1954-06-17,England,Belgium,Belgium,Léopold Anoul,,71,False,False
1954-06-17,England,Belgium,England,Nat Lofthouse,,91,False,False
1954-06-17,England,Belgium,Belgium,Jimmy Dickinson,,94,True,False
1954-06-19,Uruguay,Scotland,Uruguay,Carlos Borges,,17,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Oscar Míguez,,30,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Carlos Borges,,47,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Julio Abbadie,,54,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Carlos Borges,,57,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Oscar Míguez,,83,False,False
1954-06-19,Uruguay,Scotland,Uruguay,Julio Abbadie,,85,False,False
1954-06-19,Brazil,Yugoslavia,Yugoslavia,Branko Zebec,,48,False,False
1954-06-19,Brazil,Yugoslavia,Brazil,not applicable Didi,,69,False,False
1954-06-19,Austria,Czechoslovakia,Austria,Ernst Stojaspal,,3,False,False
1954-06-19,Austria,Czechoslovakia,Austria,Erich Probst,,4,False,False
1954-06-19,Austria,Czechoslovakia,Austria,Erich Probst,,21,False,False
1954-06-19,Austria,Czechoslovakia,Austria,Erich Probst,,24,False,False
1954-06-19,Austria,Czechoslovakia,Austria,Ernst Stojaspal,,65,False,False
1954-06-19,France,Mexico,France,Jean Vincent,,19,False,False
1954-06-19,France,Mexico,France,Raúl Cárdenas,,46,True,False
1954-06-19,France,Mexico,Mexico,José Luis Lamadrid,,54,False,False
