date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage_name,knockout_stage,extra_time,penalty_shootout,match_id
1962-05-30,Uruguay,Colombia,2,1,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-01
1962-05-30,Chile,Switzerland,3,1,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-02
1962-05-30,Brazil,Mexico,2,0,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-03
1962-05-30,Argentina,Bulgaria,1,0,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-04
1962-05-31,Soviet Union,Yugoslavia,2,0,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-05
1962-05-31,West Germany,Italy,0,0,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-06
1962-05-31,Czechoslovakia,Spain,1,0,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-07
1962-05-31,Hungary,England,2,1,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-08
1962-06-02,Yugoslavia,Uruguay,3,1,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-09
1962-06-02,Chile,Italy,2,0,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-10
1962-06-02,Brazil,Czechoslovakia,0,0,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-11
1962-06-02,England,Argentina,3,1,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-12
1962-06-03,Soviet Union,Colombia,4,4,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-13
1962-06-03,West Germany,Switzerland,2,1,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-14
1962-06-03,Spain,Mexico,1,0,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-15
1962-06-03,Hungary,Bulgaria,6,1,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-16
1962-06-06,Soviet Union,Uruguay,2,1,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-17
1962-06-06,West Germany,Chile,2,0,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-18
1962-06-06,Brazil,Spain,2,1,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-19
1962-06-06,Hungary,Argentina,0,0,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-20
1962-06-07,Yugoslavia,Colombia,5,0,1962 FIFA Men's World Cup,Arica,Chile,True,group stage,0,0,0,M-1962-21
1962-06-07,Italy,Switzerland,3,0,1962 FIFA Men's World Cup,Santiago,Chile,True,group stage,0,0,0,M-1962-22
1962-06-07,Mexico,Czechoslovakia,3,1,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,group stage,0,0,0,M-1962-23
1962-06-07,England,Bulgaria,0,0,1962 FIFA Men's World Cup,Rancagua,Chile,True,group stage,0,0,0,M-1962-24
1962-06-10,Brazil,England,3,1,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,quarter-finals,1,0,0,M-1962-25
1962-06-10,Chile,Soviet Union,2,1,1962 FIFA Men's World Cup,Arica,Chile,True,quarter-finals,1,0,0,M-1962-26
1962-06-10,Czechoslovakia,Hungary,1,0,1962 FIFA Men's World Cup,Rancagua,Chile,True,quarter-finals,1,0,0,M-1962-27
1962-06-10,Yugoslavia,West Germany,1,0,1962 FIFA Men's World Cup,Santiago,Chile,True,quarter-finals,1,0,0,M-1962-28
1962-06-13,Brazil,Chile,4,2,1962 FIFA Men's World Cup,Santiago,Chile,True,semi-finals,1,0,0,M-1962-29
1962-06-13,Czechoslovakia,Yugoslavia,3,1,1962 FIFA Men's World Cup,Viña del Mar,Chile,True,semi-finals,1,0,0,M-1962-30
1962-06-16,Chile,Yugoslavia,1,0,1962 FIFA Men's World Cup,Santiago,Chile,True,third-place match,1,0,0,M-1962-31
