date,match_id,home_team,away_team,team,player_id,player_name,minute,own_goal,penalty
1994-06-21,M-1994-13,Nigeria,Bulgaria,Nigeria,P-98228,Rashidi Yekini,21,False,False
1994-06-21,M-1994-13,Nigeria,Bulgaria,Nigeria,P-84893,Daniel Amokachi,43,False,False
1994-06-21,M-1994-13,Nigeria,Bulgaria,Nigeria,P-22820,Emmanuel Amunike,55,False,False
1994-06-22,M-1994-14,Romania,Switzerland,Switzerland,P-56818,Alain Sutter,16,False,False
1994-06-22,M-1994-14,Romania,Switzerland,Romania,P-30739,Gheorghe Hagi,35,False,False
1994-06-22,M-1994-14,Romania,Switzerland,Switzerland,P-28977,Stéphane Chapuisat,52,False,False
1994-06-22,M-1994-14,Romania,Switzerland,Switzerland,P-01678,Adrian Knup,65,False,False
1994-06-22,M-1994-14,Romania,Switzerland,Switzerland,P-01678,Adrian Knup,72,False,False
1994-06-22,M-1994-15,United States,Colombia,United States,P-70177,Andrés Escobar,35,True,False
1994-06-22,M-1994-15,United States,Colombia,United States,P-96178,Earnie Stewart,52,False,False
1994-06-22,M-1994-15,United States,Colombia,Colombia,P-55994,Adolfo Valencia,90,False,False
1994-06-23,M-1994-16,Italy,Norway,Italy,P-52474,Dino Baggio,69,False,False
1994-06-24,M-1994-18,Mexico,Republic of Ireland,Mexico,P-46904,Luis García Postigo,42,False,False
1994-06-24,M-1994-18,Mexico,Republic of Ireland,Mexico,P-46904,Luis García Postigo,65,False,False
1994-06-24,M-1994-18,Mexico,Republic of Ireland,Republic of Ireland,P-42603,John Aldridge,84,False,False
1994-06-24,M-1994-19,Brazil,Cameroon,Brazil,P-61251,not applicable Romário,39,False,False
1994-06-24,M-1994-19,Brazil,Cameroon,Brazil,P-07679,Márcio Santos,66,False,False
1994-06-24,M-1994-19,Brazil,Cameroon,Brazil,P-68671,not applicable Bebeto,73,False,False
1994-06-24,M-1994-20,Sweden,Russia,Russia,P-73354,Oleg Salenko,4,False,True
1994-06-24,M-1994-20,Sweden,Russia,Sweden,P-26281,Tomas Brolin,39,False,True
1994-06-24,M-1994-20,Sweden,Russia,Sweden,P-63429,Martin Dahlin,60,False,False
1994-06-24,M-1994-20,Sweden,Russia,Sweden,P-63429,Martin Dahlin,82,False,False
1994-06-25,M-1994-21,Belgium,Netherlands,Belgium,P-43307,Philippe Albert,65,False,False
1994-06-25,M-1994-22,Saudi Arabia,Morocco,Saudi Arabia,P-88041,Sami Al-Jaber,7,False,True
1994-06-25,M-1994-22,Saudi Arabia,Morocco,Morocco,P-09278,Mohammed Chaouch,26,False,False
1994-06-25,M-1994-22,Saudi Arabia,Morocco,Saudi Arabia,P-21550,Fuad Anwar,45,False,False
1994-06-25,M-1994-23,Argentina,Nigeria,Nigeria,P-72487,Samson Siasia,8,False,False
1994-06-25,M-1994-23,Argentina,Nigeria,Argentina,P-35873,Claudio Caniggia,21,False,False
1994-06-25,M-1994-23,Argentina,Nigeria,Argentina,P-35873,Claudio Caniggia,28,False,False
1994-06-26,M-1994-24,Bulgaria,Greece,Bulgaria,P-81648,Hristo Stoichkov,5,False,True
1994-06-26,M-1994-24,Bulgaria,Greece,Bulgaria,P-81648,Hristo Stoichkov,55,False,True
1994-06-26,M-1994-24,Bulgaria,Greece,Bulgaria,P-19567,Yordan Letchkov,65,False,False
1994-06-26,M-1994-24,Bulgaria,Greece,Bulgaria,P-40793,Daniel Borimirov,90,False,False
1994-06-26,M-1994-25,Switzerland,Colombia,Colombia,P-42991,Hermán Gaviria,44,False,False
1994-06-26,M-1994-25,Switzerland,Colombia,Colombia,P-19743,John Harold Lozano,90,False,False
1994-06-26,M-1994-26,United States,Romania,Romania,P-12625,Dan Petrescu,18,False,False
1994-06-27,M-1994-27,Bolivia,Spain,Spain,P-78385,Josep Guardiola,19,False,True
1994-06-27,M-1994-27,Bolivia,Spain,Spain,P-97666,José Luis Caminero,66,False,False
1994-06-27,M-1994-27,Bolivia,Spain,Bolivia,P-09978,Erwin Sánchez,67,False,False
1994-06-27,M-1994-27,Bolivia,Spain,Spain,P-97666,José Luis Caminero,70,False,False
1994-06-27,M-1994-28,Germany,South Korea,Germany,P-91373,Jürgen Klinsmann,12,False,False
1994-06-27,M-1994-28,Germany,South Korea,Germany,P-43380,Karl-Heinz Riedle,20,False,False
1994-06-27,M-1994-28,Germany,South Korea,Germany,P-91373,Jürgen Klinsmann,37,False,False
1994-06-27,M-1994-28,Germany,South Korea,South Korea,P-15222,Sun-hong Hwang,52,False,False
1994-06-27,M-1994-28,Germany,South Korea,South Korea,P-55097,Myung-bo Hong,63,False,False
1994-06-28,M-1994-29,Italy,Mexico,Italy,P-31072,Daniele Massaro,48,False,False
1994-06-28,M-1994-29,Italy,Mexico,Mexico,P-40627,Marcelino Bernal,57,False,False
