Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
328,Jakub Piotrowski,MF,pl Poland,26,1997,0.6,28,2,6,16,7,3,28,1,1,100.0,0,0.0,17,134,65,2,1,1,0,3,22,2,Matches
329,Marin Pongračić,DF,hr Croatia,26,1997,2.0,149,27,73,76,2,0,149,3,1,33.3,1,33.3,88,583,272,0,0,0,1,0,100,0,Matches
330,Ryan Porteous,DF,sct Scotland,24,1999,0.5,28,2,19,8,1,1,28,0,0,,0,,15,44,12,0,0,0,0,0,18,0,Matches
331,Stefan Posch,DF,at Austria,26,1997,4.0,275,14,73,94,110,4,275,6,1,16.7,3,50.0,154,689,283,6,9,0,4,6,154,28,Matches
332,Yussuf Poulsen,"FW,MF",dk Denmark,29,1994,0.6,24,0,3,10,12,2,24,1,0,0.0,1,100.0,12,67,28,1,0,0,0,1,18,5,Matches
333,Alexander Prass,DF,at Austria,22,2001,1.8,114,6,30,51,34,2,114,3,1,33.3,2,66.7,62,293,182,6,0,1,2,3,62,6,Matches
334,Lukáš Provod,MF,cz Czechia,27,1996,2.6,112,4,21,58,36,0,112,6,2,33.3,2,33.3,57,382,187,5,4,0,4,2,55,4,Matches
335,George Pușcaș,FW,ro Romania,27,1996,0.4,16,1,1,7,8,0,16,0,0,,0,,3,31,1,0,0,0,1,1,10,1,Matches
336,Leopold Querfeld,DF,at Austria,20,2003,0.3,15,3,10,5,0,0,15,0,0,,0,,3,11,5,0,0,0,0,0,4,0,Matches
337,Adrien Rabiot,MF,fr France,28,1995,4.1,275,2,31,170,75,8,275,8,5,62.5,2,25.0,206,989,449,10,9,1,7,7,212,19,Matches
338,Bogdan Racovitan,DF,ro Romania,23,2000,0.6,33,7,20,12,1,1,33,0,0,,0,,20,137,100,1,0,0,0,1,23,0,Matches
339,Predrag Rajković,GK,rs Serbia,28,1995,3.0,109,93,109,0,0,0,109,1,1,100.0,0,0.0,77,478,231,0,0,0,0,0,60,0,Matches
340,Anthony Ralston,DF,sct Scotland,25,1998,2.9,120,8,37,52,32,2,120,3,2,66.7,1,33.3,65,314,100,2,4,0,3,2,75,4,Matches
341,Ylber Ramadani,MF,al Albania,27,1996,2.9,140,11,49,87,7,1,140,4,1,25.0,2,50.0,81,352,161,2,0,1,4,1,84,0,Matches
342,Gonçalo Ramos,FW,pt Portugal,22,2001,0.3,6,1,2,1,3,3,6,0,0,,0,,3,6,1,0,0,0,0,0,2,0,Matches
343,Giacomo Raspadori,FW,it Italy,23,2000,0.9,52,0,4,24,26,2,52,1,1,100.0,0,0.0,40,152,68,1,1,0,0,2,41,5,Matches
344,Andrei Ratiu,DF,ro Romania,25,1998,4.0,168,17,66,59,44,4,168,7,1,14.3,5,71.4,67,599,222,3,4,1,7,2,67,7,Matches
345,David Raum,DF,de Germany,25,1998,1.8,107,2,26,46,35,6,107,3,3,100.0,0,0.0,47,292,212,8,2,1,0,0,66,8,Matches
346,David Raya,GK,es Spain,28,1995,1.0,43,31,42,1,0,0,43,0,0,,0,,32,191,100,0,0,0,0,0,23,0,Matches
347,Tijjani Reijnders,MF,nl Netherlands,25,1998,5.5,316,10,42,187,88,9,316,10,3,30.0,7,70.0,219,1539,802,19,8,3,3,5,258,13,Matches
348,Mateo Retegui,FW,it Italy,24,1999,1.7,32,0,3,12,19,7,32,1,0,0.0,1,100.0,20,68,7,0,1,0,3,0,26,6,Matches
349,Declan Rice,MF,eng England,25,1999,7.7,604,22,125,359,122,11,604,8,6,75.0,2,25.0,360,1817,712,5,9,0,7,6,452,14,Matches
350,Fabian Rieder,MF,ch Switzerland,21,2002,2.4,110,2,13,42,56,8,110,7,2,28.6,3,42.9,57,323,166,7,5,4,4,2,74,22,Matches
351,Andrew Robertson,DF,sct Scotland,29,1994,3.0,149,10,38,71,41,2,149,5,2,40.0,2,40.0,66,406,247,5,4,0,3,1,76,7,Matches
352,Rodri,MF,es Spain,27,1996,5.8,487,15,89,302,101,4,487,6,2,33.3,4,66.7,305,1579,824,16,7,1,5,2,369,10,Matches
353,Ricardo Rodríguez,DF,ch Switzerland,31,1992,5.3,301,28,87,146,68,0,301,2,0,0.0,2,100.0,187,987,553,13,11,0,4,4,209,13,Matches
354,Taras Romanchuk,MF,pl Poland,32,1991,0.6,18,0,7,10,1,0,18,0,0,,0,,3,11,2,0,0,0,0,0,10,0,Matches
355,Cristiano Ronaldo,FW,pt Portugal,38,1985,5.4,146,2,6,49,92,24,145,7,3,42.9,4,57.1,82,350,132,3,5,1,6,5,112,33,Matches
356,Antonio Rüdiger,DF,de Germany,30,1993,5.3,459,36,153,261,46,3,459,2,0,0.0,1,50.0,283,1205,745,3,8,0,1,1,345,0,Matches
357,Fabián Ruiz Peña,MF,es Spain,27,1996,6.0,492,10,62,281,152,12,492,17,12,70.6,5,29.4,327,1722,892,18,13,2,3,8,400,16,Matches
358,Adrian Rus,MF,ro Romania,27,1996,0.2,6,0,1,5,0,0,6,0,0,,0,,2,5,2,0,0,0,0,0,2,0,Matches
359,Marcel Sabitzer,"FW,MF",at Austria,29,1994,4.0,202,2,11,71,122,15,202,6,3,50.0,1,16.7,132,628,322,8,5,4,5,3,134,37,Matches
360,Bukayo Saka,"FW,DF",eng England,22,2001,7.0,332,10,48,112,175,29,332,28,14,50.0,11,39.3,215,1341,737,31,12,11,10,7,255,85,Matches
361,Bartosz Salamon,DF,pl Poland,32,1991,0.9,47,23,39,7,1,0,47,0,0,,0,,11,66,39,0,1,0,1,0,16,1,Matches
362,William Saliba,DF,fr France,22,2001,6.3,414,60,210,194,11,7,414,2,2,100.0,0,0.0,297,1401,707,4,1,1,2,0,305,0,Matches
363,Roland Sallai,MF,hu Hungary,26,1997,3.0,102,1,13,55,37,8,102,6,3,50.0,2,33.3,86,670,332,12,8,5,5,5,80,23,Matches
364,Lazar Samardzic,MF,rs Serbia,21,2002,0.6,25,0,2,12,11,0,25,3,1,33.3,2,66.7,14,74,16,0,0,0,0,1,16,2,Matches
365,Leroy Sané,FW,de Germany,28,1996,2.3,99,0,14,22,67,10,99,15,5,33.3,8,53.3,63,439,240,5,6,1,2,4,80,23,Matches
366,Leo Sauer,FW,sk Slovakia,18,2005,0.1,5,0,0,0,5,0,5,1,0,0.0,1,100.0,4,19,12,0,0,0,0,1,4,3,Matches
367,Gianluca Scamacca,FW,it Italy,25,1999,2.8,66,1,5,31,30,7,66,0,0,,0,,43,211,92,1,1,0,3,1,46,11,Matches
368,András Schäfer,MF,hu Hungary,24,1999,3.0,163,17,54,76,35,5,163,8,4,50.0,4,50.0,111,660,240,5,9,3,2,4,109,4,Matches
369,Fabian Schär,DF,ch Switzerland,32,1991,5.3,322,49,140,156,29,6,322,3,1,33.3,2,66.7,201,966,436,4,6,3,4,3,223,7,Matches
370,Patrik Schick,FW,cz Czechia,28,1996,1.4,53,5,10,15,28,7,53,3,0,0.0,3,100.0,29,153,62,2,2,1,2,2,35,6,Matches
371,Nico Schlotterbeck,DF,de Germany,24,1999,1.3,102,13,40,56,7,2,102,0,0,,0,,42,211,141,1,2,0,1,1,64,1,Matches
372,Kasper Schmeichel,GK,dk Denmark,37,1986,4.0,120,103,120,0,0,0,120,0,0,,0,,72,341,219,0,0,0,0,0,58,0,Matches
373,Romano Schmid,"FW,MF",at Austria,24,2000,1.6,90,1,13,34,43,4,90,4,2,50.0,1,25.0,55,240,103,3,3,1,2,6,53,11,Matches
374,Jerdy Schouten,MF,nl Netherlands,27,1997,5.6,356,15,65,226,66,6,356,6,6,100.0,0,0.0,244,830,349,7,4,2,3,1,269,11,Matches
375,Ivan Schranz,FW,sk Slovakia,30,1993,3.7,114,9,22,43,49,9,114,1,0,0.0,1,100.0,67,333,168,5,3,1,3,1,79,16,Matches
376,Taulant Seferi,FW,al Albania,27,1996,1.0,31,2,11,16,6,1,31,0,0,,0,,22,104,55,2,1,0,0,2,19,3,Matches
377,Nicolas Seiwald,MF,at Austria,22,2001,4.0,281,14,59,168,54,1,281,2,1,50.0,1,50.0,181,623,297,3,5,0,6,2,190,5,Matches
378,Nélson Semedo,DF,pt Portugal,30,1993,1.1,67,1,8,20,40,1,67,3,1,33.3,2,66.7,41,291,184,6,7,0,4,0,49,17,Matches
379,Benjamin Šeško,FW,si Slovenia,20,2003,4.0,113,5,14,61,40,5,113,14,4,28.6,9,64.3,48,320,134,3,5,1,5,4,74,21,Matches
380,Petr Ševčík,MF,cz Czechia,29,1994,0.2,29,0,3,17,11,2,29,0,0,,0,,22,139,108,3,2,0,1,0,24,1,Matches
381,Stephan El Shaarawy,FW,it Italy,31,1992,0.5,16,2,6,3,7,2,16,1,0,0.0,0,0.0,11,108,67,1,2,0,2,0,11,0,Matches
382,Lawrence Shankland,FW,sct Scotland,28,1995,0.3,18,1,2,5,11,1,18,1,0,0.0,1,100.0,9,46,11,1,1,0,1,0,9,1,Matches
383,Mykola Shaparenko,MF,ua Ukraine,25,1998,2.4,147,3,33,87,27,3,147,2,1,50.0,1,50.0,110,470,248,8,3,1,3,2,118,5,Matches
384,Xherdan Shaqiri,"MF,FW",ch Switzerland,32,1991,0.8,40,0,3,16,22,0,40,2,1,50.0,1,50.0,26,100,58,1,2,0,0,0,26,4,Matches
385,Luke Shaw,DF,eng England,28,1995,2.0,102,9,23,56,23,2,102,2,1,50.0,1,50.0,52,285,101,2,4,3,1,1,63,10,Matches
386,Vincent Sierro,MF,ch Switzerland,28,1995,0.4,32,4,8,15,9,0,32,1,0,0.0,1,100.0,14,95,36,0,0,0,1,0,21,0,Matches
387,António Silva,DF,pt Portugal,20,2003,0.8,71,2,11,47,14,2,71,0,0,,0,,50,234,155,1,5,0,0,0,54,1,Matches
388,Bernardo Silva,"FW,MF",pt Portugal,29,1994,4.7,296,4,25,127,144,20,296,5,3,60.0,2,40.0,207,1134,567,15,11,4,3,5,239,47,Matches
389,Unai Simón,GK,es Spain,26,1997,6.3,258,203,254,4,0,0,258,0,0,,0,,189,832,438,0,0,0,0,0,154,0,Matches
390,Xavi Simons,"MF,FW",nl Netherlands,20,2003,5.0,236,1,19,106,118,14,236,15,4,26.7,10,66.7,159,1012,576,20,16,2,5,8,186,33,Matches
391,Michał Skóraś,DF,pl Poland,23,2000,0.3,11,1,4,5,2,0,11,0,0,,0,,6,25,18,1,0,0,0,1,6,0,Matches
392,Łukasz Skorupski,GK,pl Poland,32,1991,1.0,40,38,40,0,0,0,40,0,0,,0,,11,65,53,0,0,0,0,0,8,0,Matches
393,Andreas Skov Olsen,"MF,FW",dk Denmark,24,1999,1.4,55,1,9,20,26,5,55,2,1,50.0,1,50.0,32,213,129,4,4,2,4,0,38,11,Matches
394,Milan Škriniar,DF,sk Slovakia,28,1995,4.3,317,35,142,161,14,4,317,3,1,33.3,1,33.3,205,1093,707,4,2,0,1,0,226,0,Matches
395,Bartosz Slisz,MF,pl Poland,24,1999,1.2,50,3,14,28,9,2,50,0,0,,0,,19,116,71,1,4,0,0,0,34,2,Matches
396,Yann Sommer,GK,ch Switzerland,35,1988,5.3,172,153,169,3,0,0,172,0,0,,0,,127,585,386,0,0,0,0,0,112,0,Matches
397,Deian Sorescu,"MF,DF",ro Romania,26,1997,0.4,22,0,7,6,9,1,22,0,0,,0,,7,20,9,0,1,0,2,0,9,1,Matches
398,Borna Sosa,DF,hr Croatia,26,1998,0.1,3,1,1,1,1,0,3,0,0,,0,,1,10,6,0,0,0,0,0,2,1,Matches
399,Tomáš Souček,MF,cz Czechia,28,1995,3.0,121,12,35,53,33,10,121,1,0,0.0,0,0.0,57,202,61,0,0,0,1,2,72,4,Matches
400,Andraž Šporar,FW,si Slovenia,29,1994,3.8,96,5,7,48,41,9,96,2,1,50.0,1,50.0,40,173,75,3,4,1,6,0,70,19,Matches
401,Nicolae Stanciu,"MF,FW",ro Romania,30,1993,3.9,138,8,19,74,46,1,138,4,1,25.0,2,50.0,69,294,102,2,0,0,4,4,90,3,Matches
402,Jindřich Staněk,GK,cz Czechia,27,1996,2.6,85,73,85,0,0,0,85,0,0,,0,,41,211,127,0,0,0,1,0,30,0,Matches
403,Josip Stanišić,DF,hr Croatia,23,2000,2.0,156,4,36,80,42,2,156,2,2,100.0,0,0.0,82,416,174,3,1,0,3,2,110,9,Matches
404,Renato Steffen,DF,ch Switzerland,32,1991,0.0,2,0,0,0,2,0,2,0,0,,0,,2,22,17,1,1,0,0,0,2,0,Matches
405,Taras Stepanenko,MF,ua Ukraine,34,1989,0.9,86,3,28,46,12,2,86,0,0,,0,,49,150,40,0,1,0,1,0,61,3,Matches
