Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
116,Kwadwo Duah,FW,ch Switzerland,26,1997,3,1,107,1.2,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,1,1,5,0.84,0.00,0.84,0.84,0.84,0.60,0.00,0.60,0.60,0.60,Matches
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
118,Ondrej Duda,MF,sk Slovakia,29,1994,4,4,317,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,2,9,9,0.28,0.00,0.28,0.28,0.28,0.08,0.04,0.12,0.08,0.12,Matches
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5,5,449,5.0,0,0,0,0,0,0,2,0,0.3,0.3,0.7,0.9,7,19,42,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19,Matches
120,Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
121,Lasha Dvali,DF,ge Georgia,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
122,Timi Elšnik,MF,si Slovenia,25,1998,4,4,359,4.0,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.9,12,11,3,0.00,0.25,0.25,0.00,0.25,0.08,0.14,0.22,0.08,0.22,Matches
123,Breel Embolo,FW,ch Switzerland,26,1997,5,3,296,3.3,2,0,2,2,0,0,0,0,2.1,2.1,0.2,2.3,4,6,13,0.61,0.00,0.61,0.61,0.61,0.65,0.05,0.70,0.65,0.70,Matches
124,Christian Eriksen,"MF,FW",dk Denmark,31,1992,4,4,348,3.9,1,0,1,1,0,0,0,0,1.3,1.3,0.8,2.1,5,17,14,0.26,0.00,0.26,0.26,0.26,0.33,0.21,0.55,0.33,0.55,Matches
125,Eberechi Eze,"DF,MF",eng England,25,1998,3,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,1,7,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
126,Wout Faes,DF,be Belgium,25,1998,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
127,Nicolò Fagioli,MF,it Italy,22,2001,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
128,João Félix,"MF,FW",pt Portugal,24,1999,2,1,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,6,15,0.00,0.00,0.00,0.00,0.00,0.14,0.35,0.49,0.14,0.49,Matches
129,Bruno Fernandes,MF,pt Portugal,29,1994,4,4,374,4.2,1,0,1,1,0,0,0,0,1.2,1.2,0.8,2.0,17,39,33,0.24,0.00,0.24,0.24,0.24,0.32,0.21,0.53,0.32,0.53,Matches
130,Attila Fiola,DF,hu Hungary,33,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
131,Phil Foden,"FW,MF",eng England,23,2000,7,7,617,6.9,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,7,22,44,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Matches
132,Youssouf Fofana,MF,fr France,25,1999,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
133,Michael Folorunsho,FW,it Italy,25,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
134,Przemysław Frankowski,DF,pl Poland,28,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,11,9,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
135,Davide Frattesi,MF,it Italy,24,1999,4,2,185,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,4,13,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
136,Remo Freuler,MF,ch Switzerland,31,1992,5,5,456,5.1,1,2,3,1,0,0,1,0,0.3,0.3,0.6,0.9,7,22,17,0.20,0.39,0.59,0.20,0.59,0.05,0.12,0.18,0.05,0.18,Matches
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,2,10,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12,Matches
138,Chris Führich,FW,de Germany,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
139,Niclas Füllkrug,FW,de Germany,30,1993,5,0,166,1.8,2,0,2,2,0,0,0,0,1.0,1.0,0.6,1.6,2,4,12,1.08,0.00,1.08,1.08,1.08,0.69,0.40,1.09,0.69,1.09,Matches
140,Mijat Gaćinović,DF,rs Serbia,28,1995,1,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
141,Cody Gakpo,FW,nl Netherlands,24,1999,6,6,523,5.8,3,1,4,3,0,0,0,0,1.1,1.1,2.0,3.0,22,11,55,0.52,0.17,0.69,0.52,0.69,0.18,0.34,0.52,0.18,0.52,Matches
142,Conor Gallagher,MF,eng England,23,2000,5,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
143,Dániel Gazdag,MF,hu Hungary,27,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
145,Billy Gilmour,MF,sct Scotland,22,2001,3,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,7,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
146,Olivier Giroud,FW,fr France,37,1986,4,0,59,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,5,0.00,0.00,0.00,0.00,0.00,0.23,0.06,0.29,0.23,0.29,Matches
147,Klaus Gjasula,MF,al Albania,34,1989,1,0,19,0.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,3,0,4.74,0.00,4.74,4.74,4.74,1.48,0.00,1.48,1.48,1.48,Matches
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,11,5,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
149,Anthony Gordon,FW,eng England,22,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.84,0.00,0.84,Matches
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,4,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
151,Michael Gregoritsch,FW,at Austria,29,1994,4,1,126,1.4,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,0,3,9,0.71,0.00,0.71,0.71,0.71,0.68,0.00,0.68,0.68,0.68,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,6,4,394,4.4,0,0,0,0,0,0,1,0,2.0,2.0,0.3,2.3,7,24,23,0.00,0.00,0.00,0.00,0.00,0.45,0.08,0.53,0.45,0.53,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,4,3,194,2.2,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,5,22,3,0.00,0.46,0.46,0.00,0.46,0.09,0.06,0.15,0.09,0.15,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,4,6,13,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.47,Matches
155,Pascal Groß,MF,de Germany,32,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,1.61,0.00,1.61,1.61,1.61,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,2,2,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
158,Marc Guéhi,DF,eng England,23,2000,6,6,570,6.3,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.3,3,18,1,0.00,0.16,0.16,0.00,0.16,0.03,0.02,0.05,0.03,0.05,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,5,4,340,3.8,1,2,3,1,0,0,1,0,0.3,0.3,1.4,1.6,9,20,18,0.26,0.53,0.79,0.26,0.79,0.07,0.36,0.43,0.07,0.43,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,5,5,383,4.3,1,1,2,1,0,0,0,0,0.8,0.8,0.2,1.0,4,21,26,0.23,0.23,0.47,0.23,0.47,0.18,0.05,0.23,0.18,0.23,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,15,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,3,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,2,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,4,0,0.00,0.00,0.00,0.00,0.00,0.00,4.13,4.13,0.00,4.13,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,4,2,188,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,3,5,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4,4,366,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,6,20,14,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.07,0.07,0.07,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,3,2,225,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,4,4,264,2.9,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.1,13,2,20,0.00,0.34,0.34,0.00,0.34,0.16,0.20,0.36,0.16,0.36,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,5,5,389,4.3,2,1,3,0,2,2,0,0,4.1,2.5,0.3,2.8,12,11,38,0.46,0.23,0.69,0.00,0.23,0.95,0.06,1.01,0.59,0.65,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,3,3,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
174,Theo Hernández,DF,fr France,26,1997,6,6,570,6.3,0,0,0,0,0,0,0,0,0.4,0.4,1.0,1.4,22,38,63,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.24,0.06,0.24,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,3,3,245,2.7,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,1,18,7,0.37,0.00,0.37,0.37,0.37,0.05,0.02,0.07,0.05,0.07,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,2,2,108,1.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,1,3,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,3,0,50,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,1,3,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3,3,270,3.0,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,1,8,1,0.00,0.33,0.33,0.00,0.33,0.11,0.16,0.27,0.11,0.27,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,5,2,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,33,13,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,4,4,286,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,6,3,28,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,3,2,201,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,3,13,6,0.00,0.45,0.45,0.00,0.45,0.02,0.15,0.17,0.02,0.17,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,2,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,25,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3,3,269,3.0,1,0,1,1,0,0,2,0,0.0,0.0,0.6,0.6,3,11,5,0.33,0.00,0.33,0.33,0.33,0.01,0.19,0.21,0.01,0.21,Matches
188,Jorginho,MF,it Italy,32,1991,3,3,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
189,Joselu,FW,es Spain,33,1990,2,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,3,0,100,1.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,6,2,13,0.00,0.00,0.00,0.00,0.00,0.86,0.40,1.26,0.86,1.26,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,3,0,102,1.1,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,1,3,0.88,0.00,0.88,0.88,0.88,0.17,0.04,0.20,0.17,0.20,Matches
192,Josip Juranović,DF,hr Croatia,28,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
193,David Jurásek,DF,cz Czechia,23,2000,2,2,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.6,0,2,16,0.00,0.00,0.00,0.00,0.00,0.15,0.21,0.36,0.15,0.36,Matches
194,Matěj Jurásek,"DF,MF",cz Czechia,20,2003,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,2,13,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25,Matches
195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.9,0.9,22,24,21,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.19,0.01,0.19,Matches
196,İrfan Kahveci,FW,tr Türkiye,28,1995,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
197,Otar Kakabadze,"DF,MF",ge Georgia,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,3,12,9,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.16,0.00,0.16,Matches
198,Harry Kane,FW,eng England,30,1993,7,7,601,6.7,3,0,3,2,1,1,2,0,2.8,2.1,0.3,2.3,3,18,18,0.45,0.00,0.45,0.30,0.30,0.42,0.04,0.46,0.31,0.35,Matches
199,N'Golo Kanté,MF,fr France,32,1991,6,6,511,5.7,0,0,0,0,0,0,0,0,0.1,0.1,1.4,1.5,16,44,19,0.00,0.00,0.00,0.00,0.00,0.03,0.26,0.29,0.03,0.29,Matches
200,Žan Karničnik,DF,si Slovenia,29,1994,4,4,390,4.3,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,8,7,10,0.23,0.00,0.23,0.23,0.23,0.13,0.00,0.13,0.13,0.13,Matches
201,Guram Kashia,DF,ge Georgia,36,1987,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
202,Milos Kerkez,DF,hu Hungary,20,2003,3,3,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,9,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
203,Semih Kılıçsoy,FW,tr Türkiye,18,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,9.23,0.00,9.23,9.23,9.23,Matches
204,Joshua Kimmich,DF,de Germany,28,1995,5,5,480,5.3,0,2,2,0,0,0,0,0,0.4,0.4,1.4,1.8,14,39,52,0.00,0.37,0.37,0.00,0.37,0.08,0.27,0.35,0.08,0.35,Matches
205,Otar Kiteishvili,MF,ge Georgia,27,1996,2,2,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
206,Jakub Kiwior,DF,pl Poland,23,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,2,4,5,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
207,László Kleinheisler,MF,hu Hungary,29,1994,2,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
208,Giorgi Kochorashvili,MF,ge Georgia,24,1999,4,4,360,4.0,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,4,18,4,0.00,0.25,0.25,0.00,0.25,0.08,0.09,0.17,0.08,0.17,Matches
209,Orkun Kökçü,MF,tr Türkiye,23,2000,4,3,221,2.5,0,2,2,0,0,0,2,0,1.0,1.0,1.1,2.1,7,11,10,0.00,0.81,0.81,0.00,0.81,0.40,0.47,0.87,0.40,0.87,Matches
210,Randal Kolo Muani,FW,fr France,25,1998,5,2,201,2.2,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,4,2,13,0.45,0.00,0.45,0.45,0.45,0.34,0.01,0.35,0.34,0.35,Matches
211,Yukhym Konoplia,DF,ua Ukraine,24,1999,1,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
212,Ezri Konsa,DF,eng England,26,1997,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
213,Filip Kostić,DF,rs Serbia,31,1992,1,1,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
214,Jules Koundé,DF,fr France,25,1998,6,6,570,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.0,14,36,41,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17,Matches
215,Mateo Kovačić,MF,hr Croatia,29,1994,3,3,223,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,12,11,4,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.26,0.21,0.26,Matches
216,Matej Kovar,GK,cz Czechia,23,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
217,Andrej Kramarić,FW,hr Croatia,32,1991,3,3,243,2.7,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,5,7,32,0.37,0.00,0.37,0.37,0.37,0.28,0.07,0.35,0.28,0.35,Matches
218,Ladislav Krejčí,DF,cz Czechia,24,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,6,19,0,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.13,0.11,0.13,Matches
219,Toni Kroos,MF,de Germany,34,1990,5,5,469,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1.0,2,67,7,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.20,0.03,0.20,Matches
220,Jan Kuchta,FW,cz Czechia,27,1997,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
221,Juraj Kucka,MF,sk Slovakia,36,1987,4,4,350,3.9,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,3,6,10,0.00,0.26,0.26,0.00,0.26,0.11,0.12,0.23,0.11,0.23,Matches
222,Jasmin Kurtić,FW,si Slovenia,35,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
223,Khvicha Kvaratskhelia,FW,ge Georgia,22,2001,4,4,342,3.8,1,0,1,1,0,0,0,0,1.0,1.0,0.6,1.6,16,10,19,0.26,0.00,0.26,0.26,0.26,0.26,0.16,0.42,0.26,0.42,Matches
224,Nika Kvekveskiri,MF,ge Georgia,31,1992,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
225,Giorgi Kvilitaia,FW,ge Georgia,30,1993,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
226,Saba Kvirkvelia,DF,ge Georgia,31,1992,3,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
227,Qazim Laçi,"MF,FW",al Albania,28,1996,3,2,163,1.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,4,9,0.55,0.00,0.55,0.55,0.55,0.18,0.04,0.22,0.18,0.22,Matches
228,Konrad Laimer,"MF,FW",at Austria,26,1997,4,3,270,3.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,7,17,10,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.18,0.18,0.18,Matches
229,Ádám Lang,DF,hu Hungary,31,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
230,Aymeric Laporte,DF,es Spain,29,1994,6,6,525,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,14,46,1,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
231,Robin Le Normand,DF,es Spain,27,1996,6,5,442,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.4,3,19,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
