Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
121,Lasha Dvali,DF,ge Georgia,28,1995,4.0,2,0.50,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
122,Timi Elšnik,MF,si Slovenia,25,1998,4.0,7,1.76,5,0,1,1,0,0,1,0.25,1,0,0,0,0,0,Matches
123,Breel Embolo,FW,ch Switzerland,26,1997,3.3,3,0.91,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Christian Eriksen,"MF,FW",dk Denmark,31,1992,3.9,26,6.72,12,12,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Eberechi Eze,"DF,MF",eng England,25,1998,1.1,2,4.29,1,0,0,1,0,0,1,2.14,0,0,0,1,0,0,Matches
126,Wout Faes,DF,be Belgium,25,1998,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,Nicolò Fagioli,MF,it Italy,22,2001,1.1,4,3.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,João Félix,"MF,FW",pt Portugal,24,1999,1.2,8,8.00,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Bruno Fernandes,MF,pt Portugal,29,1994,4.2,19,4.97,14,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Attila Fiola,DF,hu Hungary,33,1990,2.0,2,1.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Phil Foden,"FW,MF",eng England,23,2000,6.9,17,2.48,8,3,3,2,1,0,0,0.00,0,0,0,0,0,0,Matches
132,Youssouf Fofana,MF,fr France,25,1999,0.5,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Michael Folorunsho,FW,it Italy,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Przemysław Frankowski,DF,pl Poland,28,1995,3.0,9,3.00,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Davide Frattesi,MF,it Italy,24,1999,2.1,4,1.95,3,0,0,0,1,0,1,0.49,1,0,0,0,0,0,Matches
136,Remo Freuler,MF,ch Switzerland,31,1992,5.1,7,1.38,7,0,0,0,0,0,2,0.39,2,0,0,0,0,0,Matches
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,1.0,1,1.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Chris Führich,FW,de Germany,26,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Niclas Füllkrug,FW,de Germany,30,1993,1.8,9,5.96,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Mijat Gaćinović,DF,rs Serbia,28,1995,0.5,1,2.00,0,0,0,1,0,0,1,2.00,0,0,0,1,0,0,Matches
141,Cody Gakpo,FW,nl Netherlands,24,1999,5.8,20,3.44,17,0,2,1,0,0,3,0.52,2,0,1,0,0,0,Matches
142,Conor Gallagher,MF,eng England,23,2000,1.3,1,0.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
