Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Che Adams,FW,sct Scotland,27,1996,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,1,2,1,50.0,0.38,0.19,0.50,1.00,21.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,1,2,1,50.0,0.54,0.27,0.50,1.00,5.2,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,0,2,0,0.0,0.38,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25,1998,1.2,1,6,2,33.3,5.14,1.71,0.17,0.50,12.0,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
9,Trent Alexander-Arnold,"MF,DF",eng England,25,1998,1.5,0,4,1,25.0,2.69,0.67,0.00,0.00,28.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
10,Denis Alibec,FW,ro Romania,33,1991,0.3,0,1,0,0.0,3.10,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,0,4,3,75.0,0.80,0.60,0.00,0.00,15.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,0.6,0,2,1,50.0,3.16,1.58,0.00,0.00,13.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,0,3,0,0.0,0.75,0.00,0.00,,9.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
15,Robert Andrich,MF,de Germany,29,1994,3.5,0,7,2,28.6,1.98,0.57,0.00,0.00,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
16,Waldemar Anton,DF,de Germany,27,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Marko Arnautović,FW,at Austria,34,1989,3.1,1,3,2,66.7,0.97,0.65,0.00,0.00,19.4,0,1,1,1.7,0.9,0.29,-0.7,-0.9,Matches
19,Jasir Asani,FW,al Albania,28,1995,2.3,0,4,1,25.0,1.71,0.43,0.00,0.00,25.7,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,0,8,3,37.5,2.67,1.00,0.00,0.00,23.9,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
21,Kaan Ayhan,"MF,DF",tr Türkiye,29,1994,4.0,0,3,0,0.0,0.75,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
22,Alex Baena,"MF,FW",es Spain,22,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Alexander Bah,"DF,MF",dk Denmark,26,1997,3.1,0,2,0,0.0,0.64,0.00,0.00,,14.4,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
24,Nedim Bajrami,"FW,MF",al Albania,24,1999,2.7,1,3,1,33.3,1.10,0.37,0.33,1.00,15.5,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
25,Johan Bakayoko,"FW,DF",be Belgium,20,2003,0.5,0,3,0,0.0,5.63,0.00,0.00,,16.0,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Iván Balliu,DF,al Albania,32,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Nicușor Bancu,DF,ro Romania,31,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Antonín Barák,MF,cz Czechia,29,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Bradley Barcola,"FW,MF",fr France,21,2002,1.1,0,2,1,50.0,1.75,0.87,0.00,0.00,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
31,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4.0,0,2,0,0.0,0.50,0.00,0.00,,8.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
32,Nicolò Barella,MF,it Italy,26,1997,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,21.7,0,0,0,0.1,0.1,0.09,+0.9,+0.9,Matches
33,Alessandro Bastoni,DF,it Italy,24,1999,4.0,1,3,2,66.7,0.75,0.50,0.33,0.50,6.4,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
34,Martin Baturina,FW,hr Croatia,20,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
35,Christoph Baumgartner,"MF,FW",at Austria,24,1999,3.2,1,8,4,50.0,2.49,1.25,0.13,0.25,11.5,0,0,0,1.8,1.8,0.22,-0.8,-0.8,Matches
36,Altay Bayındır,GK,tr Türkiye,25,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Jan Bednarek,DF,pl Poland,27,1996,3.0,0,1,0,0.0,0.33,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
38,Maximilian Beier,FW,de Germany,21,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Jude Bellingham,"MF,FW",eng England,20,2003,7.4,2,6,3,50.0,0.81,0.40,0.33,0.67,13.7,0,0,0,0.6,0.6,0.11,+1.4,+1.4,Matches
