Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
202,Milos Kerkez,DF,hu Hungary,20,2003,2.6,47,77,61.0,715,166,26,37,70.3,18,26,69.2,3,9,33.3,0,0.1,0.0,-0.1,1,2,1,1,5,Matches
203,Semih Kılıçsoy,FW,tr Türkiye,18,2005,0.0,1,1,100.0,22,16,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
204,Joshua Kimmich,DF,de Germany,28,1995,5.3,363,409,88.8,5675,1565,202,212,95.3,141,160,88.1,15,26,57.7,2,1.4,1.5,+0.6,15,28,16,6,39,Matches
205,Otar Kiteishvili,MF,ge Georgia,27,1996,1.4,45,53,84.9,632,245,22,26,84.6,18,21,85.7,2,3,66.7,0,0.0,0.0,0.0,1,2,1,0,2,Matches
206,Jakub Kiwior,DF,pl Poland,23,2000,3.0,127,153,83.0,1993,970,67,74,90.5,51,59,86.4,5,11,45.5,0,0.2,0.2,-0.2,3,7,0,0,4,Matches
207,László Kleinheisler,MF,hu Hungary,29,1994,0.6,16,17,94.1,258,18,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
208,Giorgi Kochorashvili,MF,ge Georgia,24,1999,4.0,159,176,90.3,2711,997,73,79,92.4,59,65,90.8,18,20,90.0,1,0.4,0.3,+0.6,2,11,2,0,18,Matches
209,Orkun Kökçü,MF,tr Türkiye,23,2000,2.5,94,123,76.4,1316,371,56,65,86.2,31,42,73.8,3,9,33.3,2,1.1,0.1,+0.9,4,11,2,1,11,Matches
210,Randal Kolo Muani,FW,fr France,25,1998,2.2,27,38,71.1,393,89,19,26,73.1,4,5,80.0,2,2,100.0,0,0.0,0.1,0.0,1,2,0,0,2,Matches
211,Yukhym Konoplia,DF,ua Ukraine,24,1999,0.8,32,42,76.2,544,137,14,17,82.4,17,21,81.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
212,Ezri Konsa,DF,eng England,26,1997,1.0,48,50,96.0,769,131,21,21,100.0,24,25,96.0,3,4,75.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
213,Filip Kostić,DF,rs Serbia,31,1992,0.5,8,15,53.3,129,13,2,3,66.7,4,7,57.1,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
214,Jules Koundé,DF,fr France,25,1998,6.3,332,392,84.7,5255,1737,187,207,90.3,128,147,87.1,14,25,56.0,0,0.9,0.9,-0.9,11,25,9,3,36,Matches
215,Mateo Kovačić,MF,hr Croatia,29,1994,2.5,156,168,92.9,2341,505,88,91,96.7,60,63,95.2,5,9,55.6,0,0.1,0.7,-0.1,4,19,2,0,11,Matches
216,Matej Kovar,GK,cz Czechia,23,2000,0.4,9,18,50.0,405,342,0,0,,2,2,100.0,7,16,43.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
217,Andrej Kramarić,FW,hr Croatia,32,1991,2.7,71,89,79.8,998,114,50,55,90.9,17,24,70.8,3,7,42.9,0,0.2,0.2,-0.2,6,1,3,1,7,Matches
218,Ladislav Krejčí,DF,cz Czechia,24,1999,3.0,122,143,85.3,2356,698,40,45,88.9,71,79,89.9,11,19,57.9,0,0.0,0.1,0.0,2,14,2,0,19,Matches
219,Toni Kroos,MF,de Germany,34,1990,5.2,498,551,90.4,8494,3543,243,249,97.6,189,202,93.6,52,82,63.4,0,0.8,1.2,-0.8,15,74,6,1,67,Matches
220,Jan Kuchta,FW,cz Czechia,27,1997,1.1,11,15,73.3,172,53,5,8,62.5,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches
221,Juraj Kucka,MF,sk Slovakia,36,1987,3.9,93,123,75.6,1168,262,63,70,90.0,21,28,75.0,3,12,25.0,1,0.5,0.3,+0.5,4,6,4,2,6,Matches
