Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
100,Zeno Debast,DF,be Belgium,20,2003,1.2,3,1,2,1,0,1,1,100.0,0,3,1,2,0,3,8,0,Matches
101,Thomas Delaney,MF,dk Denmark,32,1991,0.9,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
102,Ousmane Dembélé,"FW,MF",fr France,26,1997,4.0,8,5,0,5,3,3,3,100.0,0,7,0,7,1,9,2,1,Matches
103,Merih Demiral,DF,tr Türkiye,25,1998,2.3,2,2,2,0,0,2,2,100.0,0,8,6,2,4,6,26,1,Matches
104,Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4.0,13,9,9,3,1,7,12,58.3,5,4,1,3,6,19,6,1,Matches
105,Rúben Dias,DF,pt Portugal,26,1997,4.7,2,1,2,0,0,1,3,33.3,2,7,4,3,3,5,12,0,Matches
106,Federico Dimarco,"DF,FW",it Italy,26,1997,2.5,4,2,0,2,2,2,2,100.0,0,4,2,2,2,6,2,1,Matches
107,Berat Djimsiti,DF,al Albania,30,1993,3.0,1,0,1,0,0,0,1,0.0,1,8,5,3,2,3,16,0,Matches
108,Jeremy Doku,"FW,MF",be Belgium,21,2002,3.6,3,2,3,0,0,1,4,25.0,3,1,0,1,1,4,1,1,Matches
109,Kasper Dolberg,FW,dk Denmark,26,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
110,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
111,David Doudera,FW,cz Czechia,25,1998,1.0,3,2,3,0,0,3,4,75.0,1,1,0,1,0,3,2,0,Matches
112,Artem Dovbyk,FW,ua Ukraine,26,1997,2.7,2,2,0,0,2,0,0,,0,0,0,0,1,3,2,0,Matches
113,Denis Drăguș,FW,ro Romania,24,1999,3.2,2,1,1,0,1,0,5,0.0,5,4,1,3,1,3,8,0,Matches
114,Radu Drăgușin,DF,ro Romania,21,2002,4.0,1,1,1,0,0,1,3,33.3,2,6,4,2,6,7,33,0,Matches
115,Vanja Drkušič,DF,si Slovenia,24,1999,4.3,12,7,11,1,0,11,13,84.6,2,3,2,1,1,13,16,0,Matches
116,Kwadwo Duah,FW,ch Switzerland,26,1997,1.2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,Matches
117,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
118,Ondrej Duda,MF,sk Slovakia,29,1994,3.5,7,3,2,4,1,4,6,66.7,2,8,3,5,3,10,5,0,Matches
119,Denzel Dumfries,DF,nl Netherlands,27,1996,5.0,7,5,4,0,3,4,7,57.1,3,5,2,3,3,10,6,0,Matches
120,Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
121,Lasha Dvali,DF,ge Georgia,28,1995,4.0,8,3,7,1,0,4,7,57.1,3,6,5,1,1,9,24,0,Matches
122,Timi Elšnik,MF,si Slovenia,25,1998,4.0,13,7,7,4,2,5,7,71.4,2,6,3,3,4,17,5,0,Matches
123,Breel Embolo,FW,ch Switzerland,26,1997,3.3,3,3,0,2,1,0,0,,0,3,0,3,1,4,3,0,Matches
124,Christian Eriksen,"MF,FW",dk Denmark,31,1992,3.9,6,2,1,3,2,3,4,75.0,1,3,0,3,2,8,2,0,Matches
125,Eberechi Eze,"DF,MF",eng England,25,1998,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
126,Wout Faes,DF,be Belgium,25,1998,4.0,10,7,5,5,0,3,3,100.0,0,5,3,2,4,14,11,2,Matches
127,Nicolò Fagioli,MF,it Italy,22,2001,1.1,3,1,2,0,1,1,2,50.0,1,1,1,0,0,3,0,0,Matches
128,João Félix,"MF,FW",pt Portugal,24,1999,1.2,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0,Matches
129,Bruno Fernandes,MF,pt Portugal,29,1994,4.2,8,5,5,3,0,2,3,66.7,1,6,1,5,2,10,2,0,Matches
130,Attila Fiola,DF,hu Hungary,33,1990,2.0,3,1,2,0,1,2,2,100.0,0,1,1,0,0,3,9,0,Matches
131,Phil Foden,"FW,MF",eng England,23,2000,6.9,7,4,2,3,2,1,4,25.0,3,7,0,7,1,8,4,0,Matches
132,Youssouf Fofana,MF,fr France,25,1999,0.5,1,1,1,0,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches
133,Michael Folorunsho,FW,it Italy,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
134,Przemysław Frankowski,DF,pl Poland,28,1995,3.0,7,5,6,0,1,3,12,25.0,9,1,0,1,1,8,12,0,Matches
135,Davide Frattesi,MF,it Italy,24,1999,2.1,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches
136,Remo Freuler,MF,ch Switzerland,31,1992,5.1,8,5,3,3,2,1,7,14.3,6,8,0,8,4,12,10,0,Matches
137,Jeremie Frimpong,FW,nl Netherlands,23,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
138,Chris Führich,FW,de Germany,26,1998,0.2,1,1,0,0,1,1,1,100.0,0,2,0,2,0,1,0,0,Matches
